latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
50.25881135,-95.86619088611108,244.7948,0.00000,2,2021,-11339.111
50.25881221666667,-95.86618390555553,244.8646,0.00833,2,2021,-11339.484
50.25881081944444,-95.86617891111109,245.472,0.01667,2,2021,-11339.893
50.258808880555556,-95.86618018333331,245.2366,0.02500,2,2021,-11340.535
50.25880868055555,-95.86618099166667,245.0827,0.03333,2,2021,-11341.118
50.25880890277778,-95.86618117500001,245.1134,0.04167,2,2021,-11341.737
50.25880893611111,-95.86618263055556,245.1669,0.05000,2,2021,-11342.243
50.258809066666664,-95.86618281666664,245.2351,0.05833,2,2021,-11342.644
50.258808997222225,-95.86618222777777,245.184,0.06667,2,2021,-11343.216
50.25880876388888,-95.86618266944443,245.1698,0.07500,2,2021,-11343.556
50.25880857777778,-95.86618291944444,245.2293,0.08333,2,2021,-11343.926
50.25880854166667,-95.86618330277776,245.2088,0.09167,2,2021,-11344.263
50.25880851388889,-95.86618362777777,245.2058,0.10000,2,2021,-11344.585
50.25880854166667,-95.86618373055553,245.2031,0.10833,2,2021,-11344.805
50.258808538888886,-95.86618396666665,245.1799,0.11667,2,2021,-11345.205
50.2588085638889,-95.86618384444444,245.1822,0.12500,2,2021,-11345.642
50.25880851388889,-95.86618415555554,245.2007,0.13333,2,2021,-11346.078
50.258808486111114,-95.86618420277776,245.2056,0.14167,2,2021,-11346.385
50.258808450000004,-95.86618432777776,245.2125,0.15000,2,2021,-11346.821
50.25880842777779,-95.86618453611109,245.222,0.15833,2,2021,-11347.359
50.25880845555555,-95.86618465277776,245.2233,0.16667,2,2021,-11347.751
50.25880849166667,-95.86618450555555,245.2267,0.17500,2,2021,-11348.146
50.25880851944444,-95.86618421944443,245.2407,0.18333,2,2021,-11348.589
50.25880851944444,-95.86618419166665,245.2463,0.19167,2,2021,-11349.058
50.25880851944444,-95.86618426388887,245.2542,0.20000,2,2021,-11349.566
50.25880850555555,-95.86618425555554,245.2603,0.20833,2,2021,-11350.086
50.2588085,-95.86618417222222,245.2594,0.21667,2,2021,-11350.423
50.25880850555555,-95.86618418333332,245.256,0.22500,2,2021,-11350.889
50.25880848888889,-95.86618418333332,245.258,0.23333,2,2021,-11351.212
50.25880850833333,-95.86618418888887,245.2602,0.24167,2,2021,-11351.575
50.25880849444445,-95.8661843444444,245.2592,0.25000,2,2021,-11351.959
50.25880848055555,-95.86618438333332,245.2611,0.25833,2,2021,-11352.418
50.258808466666665,-95.86618438055554,245.2616,0.26667,2,2021,-11352.877
50.258808466666665,-95.86618436944444,245.2605,0.27500,2,2021,-11353.392
50.258808475,-95.86618437222222,245.2624,0.28333,2,2021,-11353.656
50.258808466666665,-95.866184425,245.2589,0.29167,2,2021,-11353.994
50.25880846111111,-95.86618440277775,245.2581,0.30000,2,2021,-11354.296
50.25880846388888,-95.86618436666666,245.2581,0.30833,2,2021,-11354.564
50.25880843888889,-95.86618445555554,245.2578,0.31667,2,2021,-11354.965
50.25880843888889,-95.8661844472222,245.2588,0.32500,2,2021,-11355.356
50.258808450000004,-95.86618436111111,245.2581,0.33333,2,2021,-11355.638
50.258808450000004,-95.86618435555555,245.2587,0.34167,2,2021,-11355.908
50.25880845555555,-95.86618436944444,245.2582,0.35000,2,2021,-11356.218
50.258808452777785,-95.86618442222222,245.2611,0.35833,2,2021,-11356.554
50.258808452777785,-95.86618444444443,245.2601,0.36667,2,2021,-11356.941
50.258808450000004,-95.86618445555554,245.2588,0.37500,2,2021,-11357.261
50.258808466666665,-95.86618440555553,245.2584,0.38333,2,2021,-11357.844
50.25880847222222,-95.86618440555553,245.2562,0.39167,2,2021,-11358.323
50.258808469444446,-95.86618444166666,245.2541,0.40000,2,2021,-11358.699
50.258808469444446,-95.86618441388889,245.2534,0.40833,2,2021,-11359.053
50.258808475,-95.86618435277776,245.254,0.41667,2,2021,-11359.439
50.25880848055555,-95.86618434722219,245.2532,0.42500,2,2021,-11359.874
50.258808469444446,-95.86618434166667,245.254,0.43333,2,2021,-11360.230
50.258808466666665,-95.86618434722219,245.2535,0.44167,2,2021,-11360.469
50.258808469444446,-95.86618435277776,245.254,0.45000,2,2021,-11360.871
50.258808458333334,-95.86618439722218,245.2552,0.45833,2,2021,-11361.136
50.25880846111111,-95.86618436944444,245.2558,0.46667,2,2021,-11361.434
50.258808450000004,-95.86618438055554,245.2575,0.47500,2,2021,-11361.765
50.258808450000004,-95.86618439166665,245.2577,0.48333,2,2021,-11362.164
50.258808452777785,-95.86618436111111,245.2582,0.49167,2,2021,-11362.390
50.25880835,-95.86618454722222,245.274,0.49167,2,2021,0.000
50.25880835,-95.86618454722222,245.274,0.49167,2,2021,0.000
